antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"hue_Low, od280/od315_of_diluted_wines_Low",target_class_2,0.24719101123595505,0.2696629213483146,0.23595505617977527,0.9545454545454546,3.5397727272727275,1.0,0.16929680595884358,16.067415730337093,0.953091684434968,0.8400000000000003,0.9377622377622378,0.9147727272727273
target_class_2,"hue_Low, od280/od315_of_diluted_wines_Low",0.2696629213483146,0.24719101123595505,0.23595505617977527,0.875,3.5397727272727275,1.0,0.16929680595884358,6.02247191011236,0.9824175824175824,0.8400000000000003,0.8339552238805971,0.9147727272727273
"target_class_2, flavanoids_Low","hue_Low, od280/od315_of_diluted_wines_Low",0.2696629213483146,0.24719101123595505,0.23595505617977527,0.875,3.5397727272727275,1.0,0.16929680595884358,6.02247191011236,0.9824175824175824,0.8400000000000003,0.8339552238805971,0.9147727272727273
target_class_2,"hue_Low, flavanoids_Low, od280/od315_of_diluted_wines_Low",0.2696629213483146,0.24719101123595505,0.23595505617977527,0.875,3.5397727272727275,1.0,0.16929680595884358,6.02247191011236,0.9824175824175824,0.8400000000000003,0.8339552238805971,0.9147727272727273
"hue_Low, flavanoids_Low, od280/od315_of_diluted_wines_Low",target_class_2,0.24719101123595505,0.2696629213483146,0.23595505617977527,0.9545454545454546,3.5397727272727275,1.0,0.16929680595884358,16.067415730337093,0.953091684434968,0.8400000000000003,0.9377622377622378,0.9147727272727273
"hue_Low, od280/od315_of_diluted_wines_Low","target_class_2, flavanoids_Low",0.24719101123595505,0.2696629213483146,0.23595505617977527,0.9545454545454546,3.5397727272727275,1.0,0.16929680595884358,16.067415730337093,0.953091684434968,0.8400000000000003,0.9377622377622378,0.9147727272727273
"hue_Low, flavanoids_Low","target_class_2, total_phenols_Low",0.2752808988764045,0.21910112359550563,0.20786516853932585,0.7551020408163266,3.446363160648875,1.0,0.14755081429112488,3.1886704119850195,0.9794678399329564,0.7254901960784315,0.6863896637791809,0.8519099947671376
"target_class_2, total_phenols_Low","hue_Low, flavanoids_Low",0.21910112359550563,0.2752808988764045,0.20786516853932585,0.9487179487179487,3.4463631606488745,1.0,0.14755081429112488,14.132022471910101,0.9090025277075637,0.7254901960784315,0.9292387199363943,0.8519099947671376
target_class_2,"hue_Low, flavanoids_Low, proanthocyanins_Low",0.2696629213483146,0.2247191011235955,0.20786516853932585,0.7708333333333334,3.4302083333333337,1.0,0.14726675924756977,3.3830439223697657,0.9700623700623702,0.7254901960784315,0.7044082125603865,0.8479166666666667
"hue_Low, flavanoids_Low, proanthocyanins_Low",target_class_2,0.2247191011235955,0.2696629213483146,0.20786516853932585,0.925,3.4302083333333337,1.0,0.14726675924756977,9.737827715355811,0.9138268703486095,0.7254901960784315,0.8973076923076924,0.8479166666666667
"alcalinity_of_ash_Medium, od280/od315_of_diluted_wines_Low","target_class_2, flavanoids_Low",0.21910112359550563,0.2696629213483146,0.20224719101123595,0.923076923076923,3.423076923076923,1.0,0.14316374195177375,9.494382022471903,0.9064748201438848,0.7058823529411765,0.8946745562130177,0.8365384615384615
target_class_2,"alcalinity_of_ash_Medium, od280/od315_of_diluted_wines_Low",0.2696629213483146,0.21910112359550563,0.20224719101123595,0.75,3.423076923076923,1.0,0.14316374195177375,3.1235955056179776,0.9692307692307691,0.7058823529411765,0.6798561151079137,0.8365384615384615
"alcalinity_of_ash_Medium, od280/od315_of_diluted_wines_Low",target_class_2,0.21910112359550563,0.2696629213483146,0.20224719101123595,0.923076923076923,3.423076923076923,1.0,0.14316374195177375,9.494382022471903,0.9064748201438848,0.7058823529411765,0.8946745562130177,0.8365384615384615
"target_class_2, flavanoids_Low","alcalinity_of_ash_Medium, od280/od315_of_diluted_wines_Low",0.2696629213483146,0.21910112359550563,0.20224719101123595,0.75,3.423076923076923,1.0,0.14316374195177375,3.1235955056179776,0.9692307692307691,0.7058823529411765,0.6798561151079137,0.8365384615384615
target_class_2,"flavanoids_Low, alcalinity_of_ash_Medium, od280/od315_of_diluted_wines_Low",0.2696629213483146,0.21910112359550563,0.20224719101123595,0.75,3.423076923076923,1.0,0.14316374195177375,3.1235955056179776,0.9692307692307691,0.7058823529411765,0.6798561151079137,0.8365384615384615
"flavanoids_Low, alcalinity_of_ash_Medium, od280/od315_of_diluted_wines_Low",target_class_2,0.21910112359550563,0.2696629213483146,0.20224719101123595,0.923076923076923,3.423076923076923,1.0,0.14316374195177375,9.494382022471903,0.9064748201438848,0.7058823529411765,0.8946745562130177,0.8365384615384615
target_class_2,"total_phenols_Low, hue_Low",0.2696629213483146,0.2303370786516854,0.20786516853932585,0.7708333333333334,3.3465447154471546,1.0,0.14575179901527585,3.3585291113381004,0.9600831600831601,0.7115384615384616,0.7022506082725062,0.8366361788617886
"total_phenols_Low, flavanoids_Low, hue_Low",target_class_2,0.2303370786516854,0.2696629213483146,0.20786516853932585,0.9024390243902439,3.3465447154471546,1.0,0.14575179901527585,7.485955056179777,0.9110278161373051,0.7115384615384616,0.8664165103189494,0.8366361788617886
"total_phenols_Low, hue_Low","target_class_2, flavanoids_Low",0.2303370786516854,0.2696629213483146,0.20786516853932585,0.9024390243902439,3.3465447154471546,1.0,0.14575179901527585,7.485955056179777,0.9110278161373051,0.7115384615384616,0.8664165103189494,0.8366361788617886
target_class_2,"total_phenols_Low, flavanoids_Low, hue_Low",0.2696629213483146,0.2303370786516854,0.20786516853932585,0.7708333333333334,3.3465447154471546,1.0,0.14575179901527585,3.3585291113381004,0.9600831600831601,0.7115384615384616,0.7022506082725062,0.8366361788617886
"target_class_2, flavanoids_Low","total_phenols_Low, hue_Low",0.2696629213483146,0.2303370786516854,0.20786516853932585,0.7708333333333334,3.3465447154471546,1.0,0.14575179901527585,3.3585291113381004,0.9600831600831601,0.7115384615384616,0.7022506082725062,0.8366361788617886
